number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.34439895881121346,2026-03-01 15:30:19.679060,2026-03-01 15:30:21.269074,0 days 00:00:01.590014,0.6232334448672797,0.17254716573280354,7,39,687,192,0.004042872735027332,2.9154431891537547,0.662397808134481,COMPLETE
1,0.3798423247697114,2026-03-01 15:30:21.271076,2026-03-01 15:30:23.882847,0 days 00:00:02.611771,0.6733618039413735,0.010636066512540286,10,50,1121,249,0.0014077923139972403,0.016480446427978974,0.6727299868828402,COMPLETE
2,0.38016672054588446,2026-03-01 15:30:23.883848,2026-03-01 15:30:25.455944,0 days 00:00:01.572096,0.7824279936868144,0.023927528765580644,0,65,761,163,1.5777663630582448e-05,1.382623217936987,0.7465447373174767,COMPLETE
3,0.35702992773343095,2026-03-01 15:30:25.456945,2026-03-01 15:30:27.146106,0 days 00:00:01.689161,0.9795542149013333,0.05898602410432694,7,42,869,27,0.07085721663941602,7.2866537374910445,0.6260206371941118,COMPLETE
4,0.40406500519264676,2026-03-01 15:30:27.147107,2026-03-01 15:30:28.240039,0 days 00:00:01.092932,0.6137554084460873,0.013399060561509796,5,33,596,180,3.5700959600309506e-05,4.337920697490942,0.798070764044508,COMPLETE
5,0.3760031497230465,2026-03-01 15:30:28.241040,2026-03-01 15:30:30.047810,0 days 00:00:01.806770,0.9100531293444458,0.02544166090938368,6,45,1061,141,0.2338643925620872,5.727904470799623,0.9878338511058234,COMPLETE
6,0.3938100734112525,2026-03-01 15:30:30.048811,2026-03-01 15:30:30.618074,0 days 00:00:00.569263,0.7554709158757928,0.15826541904647565,1,18,977,37,0.09384800715909536,0.01217295809836997,0.7301321323053057,COMPLETE
7,0.411115155281608,2026-03-01 15:30:30.619074,2026-03-01 15:30:31.398089,0 days 00:00:00.779015,0.9947547746402069,0.023200867504756827,0,163,664,146,1.5570196345516602e-05,1.2273800987852967,0.6298202574719083,COMPLETE
8,0.4052519745433226,2026-03-01 15:30:31.399090,2026-03-01 15:30:31.742008,0 days 00:00:00.342918,0.7433862914177091,0.11506408247250169,9,157,207,186,0.15087613675681671,0.0029072088906598446,0.6296178606936361,COMPLETE
9,0.4024689509417686,2026-03-01 15:30:31.744010,2026-03-01 15:30:32.763545,0 days 00:00:01.019535,0.8550229885420852,0.026946865572417687,3,72,1010,31,0.0006812233896860299,3.53875886477924,0.8918424713352255,COMPLETE
10,0.38325940039743767,2026-03-01 15:30:32.765048,2026-03-01 15:30:34.044706,0 days 00:00:01.279658,0.9892151043078499,0.06254517730997457,-1,197,1429,90,1.7329963039072036e-06,0.313569713135636,0.876098829427658,COMPLETE
11,0.4108710271574928,2026-03-01 15:30:34.046709,2026-03-01 15:30:34.389728,0 days 00:00:00.343019,0.7191917946438386,0.09743998503699917,12,160,206,225,0.9734543617417944,0.0019882577736144275,0.6082728941092255,COMPLETE
12,0.40580593231177814,2026-03-01 15:30:34.391730,2026-03-01 15:30:34.836729,0 days 00:00:00.444999,0.8510571781023799,0.09273742526491577,12,135,215,239,9.677504937531828e-05,0.17800247617519108,0.7097939893129923,COMPLETE
13,0.4157354616652741,2026-03-01 15:30:34.837730,2026-03-01 15:30:35.298961,0 days 00:00:00.461231,0.6966219731921359,0.0373476908381969,3,177,428,108,0.9730783291998828,0.04016279039622342,0.6102197979242173,COMPLETE
14,0.4126850207038921,2026-03-01 15:30:35.299962,2026-03-01 15:30:35.697970,0 days 00:00:00.398008,0.6777843590423243,0.032415911280978475,2,200,461,99,2.063060103137592e-06,0.03980364072244555,0.8042199344989954,COMPLETE
15,0.4083040149215876,2026-03-01 15:30:35.698971,2026-03-01 15:30:36.192048,0 days 00:00:00.493077,0.6828578440873861,0.04356247910267818,3,195,494,102,0.012537384182301799,0.02103820019888075,0.828509978737356,COMPLETE
16,0.4145258393533092,2026-03-01 15:30:36.194050,2026-03-01 15:30:36.652743,0 days 00:00:00.458693,0.6708597643548979,0.034956562948776235,3,102,414,91,1.1997072580708852e-06,0.04495955821726333,0.7884203507888449,COMPLETE
17,0.4190398212432421,2026-03-01 15:30:36.653743,2026-03-01 15:30:37.240990,0 days 00:00:00.587247,0.6437202714845036,0.0163977938931661,4,106,395,70,0.00022277458722324956,0.06273563767832326,0.9981339086826629,COMPLETE
18,0.41899821007286747,2026-03-01 15:30:37.241990,2026-03-01 15:30:37.808695,0 days 00:00:00.566705,0.6019857593991905,0.0172828436673649,5,115,421,60,0.00024875274958536023,0.005703168090022516,0.9770889248403614,COMPLETE
19,0.42093061995069164,2026-03-01 15:30:37.809695,2026-03-01 15:30:38.319889,0 days 00:00:00.510194,0.6052940851842044,0.01587739603007602,5,109,342,64,0.00023068143158644908,0.005485643579745974,0.9994363422578473,COMPLETE
20,0.39345953791281396,2026-03-01 15:30:38.320891,2026-03-01 15:30:40.491807,0 days 00:00:02.170916,0.6400403363366974,0.016809659745140638,9,97,1264,65,0.0003076418564771891,0.0011129709953152695,0.9381671884732354,COMPLETE
21,0.41996013268843047,2026-03-01 15:30:40.493809,2026-03-01 15:30:41.317984,0 days 00:00:00.824175,0.6012691469432376,0.016929446015777474,5,122,347,60,0.00015098581212275201,0.005586739485260807,0.9969564728619202,COMPLETE
22,0.4184037197558476,2026-03-01 15:30:41.318985,2026-03-01 15:30:41.886755,0 days 00:00:00.567770,0.6336382022920815,0.016834838671132814,5,124,307,64,8.566740780465977e-05,0.006291077802441769,0.9460904442613728,COMPLETE
23,0.4188255795020043,2026-03-01 15:30:41.887757,2026-03-01 15:30:42.590749,0 days 00:00:00.702992,0.6007201101931151,0.011705861061818286,4,84,566,52,0.003746313539361675,0.10288794335939705,0.9989588246820749,COMPLETE
24,0.41537314515512136,2026-03-01 15:30:42.591750,2026-03-01 15:30:43.121909,0 days 00:00:00.530159,0.6496768194846455,0.014335524658755528,7,134,319,81,5.851309551624728e-06,0.005805617316540586,0.9381148293984726,COMPLETE
25,0.41367707735885373,2026-03-01 15:30:43.122909,2026-03-01 15:30:43.680096,0 days 00:00:00.557187,0.7170854336427618,0.020227804619466723,6,92,322,123,0.00013712931467028578,0.0027669190031710113,0.8876118400228676,COMPLETE
