number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.3690992257599394,2026-03-01 15:23:53.833474,2026-03-01 15:23:57.819161,0 days 00:00:03.985687,0.662397808134481,0.2904180608409973,0.17254716573280354,7,6.009974718380312,574,0.004042872735027332,2.9154431891537547,0.6624074561769746,COMPLETE
1,0.40578421831785577,2026-03-01 15:23:57.821164,2026-03-01 15:24:00.565145,0 days 00:00:02.743981,0.6727299868828402,0.9170225492671691,0.010636066512540286,8,12.10689693600216,908,0.0014077923139972403,0.016480446427978974,0.6849356442713105,COMPLETE
2,0.3962868235624633,2026-03-01 15:24:00.567148,2026-03-01 15:24:01.771265,0 days 00:00:01.204117,0.7465447373174767,2.28034992108518,0.023927528765580644,6,1.5187479226722465,632,1.5777663630582448e-05,1.382623217936987,0.7168578594140873,COMPLETE
3,0.4231601163468657,2026-03-01 15:24:01.772266,2026-03-01 15:24:02.568346,0 days 00:00:00.796080,0.6260206371941118,4.7444276862666666,0.05898602410432694,2,6.172115948107071,714,0.07085721663941602,7.2866537374910445,0.6682096494749166,COMPLETE
4,0.4014311843501461,2026-03-01 15:24:02.571349,2026-03-01 15:24:04.247183,0 days 00:00:01.675834,0.798070764044508,0.17194260557609198,0.013399060561509796,6,3.738105868191796,504,3.5700959600309506e-05,4.337920697490942,0.6488152939379115,COMPLETE
5,0.42325694293501603,2026-03-01 15:24:04.249185,2026-03-01 15:24:05.757190,0 days 00:00:01.508005,0.9878338511058234,3.8756641168055728,0.02544166090938368,5,5.143828405076927,863,0.2338643925620872,5.727904470799623,0.6739417822102108,COMPLETE
6,0.36351022014387635,2026-03-01 15:24:05.758190,2026-03-01 15:24:06.965288,0 days 00:00:01.207098,0.7301321323053057,1.9433864484474102,0.15826541904647565,2,1.7987863473362906,798,0.09384800715909536,0.01217295809836997,0.6180909155642152,COMPLETE
7,0.41504918261181273,2026-03-01 15:24:06.967291,2026-03-01 15:24:07.935525,0 days 00:00:00.968234,0.6298202574719083,4.9344346830025865,0.023200867504756827,5,1.5252697030515172,557,1.5570196345516602e-05,1.2273800987852967,0.9208787923016158,COMPLETE
8,0.4066228522810107,2026-03-01 15:24:07.936526,2026-03-01 15:24:08.332237,0 days 00:00:00.395711,0.6296178606936361,1.7923286427213632,0.11506408247250169,6,8.880965698768717,205,0.15087613675681671,0.0029072088906598446,0.9085081386743783,COMPLETE
9,0.41713783800829585,2026-03-01 15:24:08.334239,2026-03-01 15:24:09.391518,0 days 00:00:01.057279,0.8918424713352255,3.1877873567760657,0.026946865572417687,2,2.5386178456500557,823,0.0006812233896860299,3.53875886477924,0.7300733288106989,COMPLETE
10,0.41791719469222155,2026-03-01 15:24:09.393520,2026-03-01 15:24:10.713757,0 days 00:00:01.320237,0.9630659181130071,3.651834476035047,0.05649059146589217,4,16.328176997790177,1163,0.6597449232527964,0.2661681666438764,0.8112687136962431,COMPLETE
11,0.4234931284962191,2026-03-01 15:24:10.716263,2026-03-01 15:24:11.902255,0 days 00:00:01.185992,0.9831904699630576,4.815472890090304,0.053409015783264034,3,5.72704775242526,1067,0.013446008704862664,9.198920254696224,0.8014510787472005,COMPLETE
12,0.40391297567542195,2026-03-01 15:24:11.903256,2026-03-01 15:24:13.320604,0 days 00:00:01.417348,0.9795081755652144,3.8596200619003547,0.043565823890861506,4,4.209240940443604,1057,0.014486787635604705,0.28921729814757424,0.8273164440181244,COMPLETE
13,0.4242511358155462,2026-03-01 15:24:13.321605,2026-03-01 15:24:14.340067,0 days 00:00:01.018462,0.9014564766396872,4.225326700524615,0.08772648674623724,4,7.887638397823124,969,0.9465435371736431,9.769739279708352,0.76496126810241,COMPLETE
14,0.41942947362467714,2026-03-01 15:24:14.342069,2026-03-01 15:24:15.503481,0 days 00:00:01.161412,0.9006453699263156,4.484109940093784,0.08795282207318161,3,9.126160090234947,1061,0.00018630852709335244,0.5233592805727256,0.7653656398770851,COMPLETE
15,0.41889351594664337,2026-03-01 15:24:15.504481,2026-03-01 15:24:16.576370,0 days 00:00:01.071889,0.902377768136035,3.1399444301398254,0.08009471019398491,4,3.065887486702054,1000,0.01445785968801875,9.880762982476798,0.8561711433906496,COMPLETE
16,0.41213172042406115,2026-03-01 15:24:16.577371,2026-03-01 15:24:17.852426,0 days 00:00:01.275055,0.8469375088733606,4.447528107949449,0.043401438071059735,3,18.81696084575414,1184,1.1997072580708852e-06,0.0358985394248392,0.8642396983313831,COMPLETE
17,0.41386379959284686,2026-03-01 15:24:17.853428,2026-03-01 15:24:18.911226,0 days 00:00:01.057798,0.9280513106411831,3.1370991330748383,0.10979613427692589,3,8.605894351749056,964,0.9377893470080245,0.0013970734935405218,0.7800277303476707,COMPLETE
18,0.4079769750405175,2026-03-01 15:24:18.912227,2026-03-01 15:24:19.590092,0 days 00:00:00.677865,0.8366070683982902,4.093784190410645,0.03579646567214664,4,1.0171537323132207,404,0.02088317190032597,0.08538755652649661,0.763283913462416,COMPLETE
19,0.41282073517134527,2026-03-01 15:24:19.591094,2026-03-01 15:24:20.719193,0 days 00:00:01.128099,0.9366054067010161,2.7128866027301815,0.061025269594923444,3,12.396354763949109,1059,0.005069520857810528,1.2992702225128836,0.9452921919019872,COMPLETE
20,0.41281127284348307,2026-03-01 15:24:20.721195,2026-03-01 15:24:21.555318,0 days 00:00:00.834123,0.8559370287924123,4.330402796023959,0.08454779216971813,5,6.8158643385006386,727,0.03434912498757992,0.562906577970382,0.9898875741289292,COMPLETE
21,0.4252777965571358,2026-03-01 15:24:21.557321,2026-03-01 15:24:22.694281,0 days 00:00:01.136960,0.9915775358016721,3.6480671020616278,0.01631216454734748,5,5.126939094568154,846,0.270247101189498,8.349846215459106,0.730638227832376,COMPLETE
22,0.4252625744111856,2026-03-01 15:24:22.696284,2026-03-01 15:24:24.602277,0 days 00:00:01.905993,0.9974311706199008,3.5031122233487473,0.016793327248743748,5,4.659162485384234,935,0.30442881721748827,9.769656942728064,0.7281025914049898,COMPLETE
23,0.41582204741918893,2026-03-01 15:24:24.604279,2026-03-01 15:24:26.503367,0 days 00:00:01.899088,0.943261893699069,3.4518389696288625,0.01636123270120458,6,3.4073600182731196,928,0.36418186933334085,1.816807700751952,0.7228054930981875,COMPLETE
24,0.42159613776142696,2026-03-01 15:24:26.505370,2026-03-01 15:24:28.010301,0 days 00:00:01.504931,0.9940104960684827,2.7623266318863946,0.016439317324951012,5,4.54899971972899,797,0.8560103147761676,2.3591887178044577,0.739769675511836,COMPLETE
25,0.41973913319456424,2026-03-01 15:24:28.011302,2026-03-01 15:24:29.652230,0 days 00:00:01.640928,0.9462429603053732,3.5326509201525926,0.010115586476835563,7,2.622432340807122,916,0.19721192638945373,4.130887767161523,0.6952744328720941,COMPLETE
26,0.4193279821726015,2026-03-01 15:24:29.655233,2026-03-01 15:24:30.836274,0 days 00:00:01.181041,0.8825161324462794,4.224251864817987,0.01847698855543252,4,8.255111328002872,764,0.053301225935570996,0.6530247670286281,0.7587085640595485,COMPLETE
27,0.4234244629534502,2026-03-01 15:24:30.837275,2026-03-01 15:24:31.824091,0 days 00:00:00.986816,0.9192999804285984,3.9477080622005567,0.01345858756266688,5,12.120503970453324,662,0.35761791099797974,9.668051741703614,0.6008696296716883,COMPLETE
28,0.40550040411598226,2026-03-01 15:24:31.825092,2026-03-01 15:24:33.106270,0 days 00:00:01.281178,0.7999871070784943,2.4981686629085873,0.029677912232698504,7,4.862213807224705,880,0.08507522269135726,0.144688430959165,0.836927643965855,COMPLETE
29,0.3753367072253241,2026-03-01 15:24:33.107271,2026-03-01 15:24:34.524058,0 days 00:00:01.416787,0.9566698593562603,1.3774951050614712,0.18505995430619274,5,6.982469826089994,992,0.003994358018122546,2.6016375516089822,0.7017882423461942,COMPLETE
30,0.418681370987528,2026-03-01 15:24:34.525059,2026-03-01 15:24:36.086345,0 days 00:00:01.561286,0.9986025071094323,3.3734047477213944,0.019896446899281533,7,2.242918216367677,1116,0.39291359311418383,4.406737742673538,0.650399366143879,COMPLETE
31,0.41718935463454904,2026-03-01 15:24:36.088348,2026-03-01 15:24:37.225371,0 days 00:00:01.137023,0.9673768960040752,4.992483437747102,0.034231699403071934,4,5.550706796408237,1014,0.008511831177921347,8.506019617008546,0.8022958697176882,COMPLETE
32,0.40883302383603803,2026-03-01 15:24:37.227373,2026-03-01 15:24:38.526130,0 days 00:00:01.298757,0.9995828544235713,4.551121334216751,0.07120971641197983,3,7.1767650464608295,1103,0.0012067553477996737,2.8204237155945373,0.7840176660350735,COMPLETE
33,0.4226290229103432,2026-03-01 15:24:38.528132,2026-03-01 15:24:39.516337,0 days 00:00:00.988205,0.9652247010841102,4.653724192166631,0.11285051092758715,8,4.054822869895489,864,0.03716120674346126,5.786746144576904,0.7496248120228507,COMPLETE
34,0.41020621753858943,2026-03-01 15:24:39.517337,2026-03-01 15:24:40.728092,0 days 00:00:01.210755,0.9168274662130315,3.7350376291104324,0.05063696562306127,4,5.899838214687564,941,0.12559699847996597,1.0683139123664112,0.705986128460075,COMPLETE
35,0.41851902954710896,2026-03-01 15:24:40.729093,2026-03-01 15:24:42.204527,0 days 00:00:01.475434,0.7342596173139948,4.119800118014192,0.012906258331558663,6,3.322846145203502,1120,0.002346599786454941,5.73204439584058,0.7876530155984451,COMPLETE
36,0.42250743508828875,2026-03-01 15:24:42.206530,2026-03-01 15:24:43.199238,0 days 00:00:00.992708,0.9730114790323506,4.77957053632716,0.03750730008942325,6,5.217285128743064,839,0.00042198875265109454,9.429242265273214,0.7391615690545094,COMPLETE
37,0.39501907868506836,2026-03-01 15:24:43.201240,2026-03-01 15:24:44.670269,0 days 00:00:01.469029,0.7677410569512203,0.5675986853847985,0.06676871644209331,2,10.180519707045177,1037,0.4971668844908404,2.177943530202076,0.8740679659140747,COMPLETE
38,0.4051741358086235,2026-03-01 15:24:44.671271,2026-03-01 15:24:46.172939,0 days 00:00:01.501668,0.8284431028056051,2.85124803408521,0.021534794697903446,3,6.421796355052542,961,0.2305239257011039,0.008647482786869613,0.6765253361619125,COMPLETE
39,0.42382043441929246,2026-03-01 15:24:46.173940,2026-03-01 15:24:47.052612,0 days 00:00:00.878672,0.8763063200779864,4.2305855160487535,0.14607199394595835,5,10.235545509951137,725,0.0593192361817632,5.0567914729406525,0.8150671993641571,COMPLETE
40,0.4269883687736321,2026-03-01 15:24:47.054614,2026-03-01 15:24:47.905818,0 days 00:00:00.851204,0.8672113500722914,3.979859818842834,0.14472421254400633,5,10.84553359720183,610,0.08541282593393013,5.048208972832358,0.8264038505617375,COMPLETE
41,0.42771543826507497,2026-03-01 15:24:47.909822,2026-03-01 15:24:48.716441,0 days 00:00:00.806619,0.871152967929462,4.0053307148851385,0.14579724476831882,5,15.214475350619312,548,0.10078022435099515,4.491121861886614,0.8230680850687451,COMPLETE
42,0.42816979185843723,2026-03-01 15:24:48.718443,2026-03-01 15:24:49.588070,0 days 00:00:00.869627,0.8158303865860873,3.929951741146498,0.13455395644755813,5,15.311363556783784,474,0.12774921418044832,3.53304866823373,0.8488251750588097,COMPLETE
43,0.41543247630549096,2026-03-01 15:24:49.590072,2026-03-01 15:24:50.272625,0 days 00:00:00.682553,0.8152223717703321,3.7616265053357965,0.13747528800848047,6,14.954787215335434,425,0.10398638761881662,3.3956044024348713,0.8954495887929053,COMPLETE
44,0.40811429891607387,2026-03-01 15:24:50.273626,2026-03-01 15:24:51.277151,0 days 00:00:01.003525,0.6706738004523942,3.3464341706788776,0.19602570660191035,5,14.437807869320526,578,0.02941205839799833,0.881053776688708,0.8403833910595468,COMPLETE
45,0.4183651982860419,2026-03-01 15:24:51.280155,2026-03-01 15:24:52.201411,0 days 00:00:00.921256,0.7573019310592306,3.960035715228489,0.1326045571934489,5,19.87452758029841,477,0.16934854847825506,1.7480471356551266,0.8816050387654819,COMPLETE
46,0.4167137821676368,2026-03-01 15:24:52.203413,2026-03-01 15:24:53.145158,0 days 00:00:00.941745,0.779405398275745,2.946427697125777,0.16455941226269194,6,17.082258612636583,321,0.0651228897340098,5.833126185727294,0.8471914005922904,COMPLETE
47,0.4260268240901108,2026-03-01 15:24:53.147162,2026-03-01 15:24:54.381471,0 days 00:00:01.234309,0.6988417721260348,3.6082165059388758,0.10058013171415466,5,14.180921139283969,596,0.19497511041756901,4.211964057469494,0.824745969971993,COMPLETE
48,0.41307320783524276,2026-03-01 15:24:54.382473,2026-03-01 15:24:55.964372,0 days 00:00:01.581899,0.701656708364571,2.188146253788897,0.09918710088584684,6,13.811178367868765,599,0.15720357418728031,3.789325847009369,0.8227915894000817,COMPLETE
49,0.42221599789984554,2026-03-01 15:24:55.966377,2026-03-01 15:24:57.107161,0 days 00:00:01.140784,0.6979800648757009,3.6852794352155835,0.13032691735539742,5,10.62857195188011,643,0.00016053772448038455,0.8102031173493865,0.9227159943629757,COMPLETE
50,0.42257984700022116,2026-03-01 15:24:57.109163,2026-03-01 15:24:58.214455,0 days 00:00:01.105292,0.6456837944783227,3.249509713167993,0.16573089499207055,5,17.422295807614802,519,0.009921819118416471,1.5053893090912123,0.864351500340761,COMPLETE
51,0.42111249083745167,2026-03-01 15:24:58.216459,2026-03-01 15:24:59.091282,0 days 00:00:00.874823,0.6106734990654217,3.5441875327176877,0.10150689105727578,5,13.199335068106594,533,0.3044679924448347,6.656445511061406,0.828538114010327,COMPLETE
52,0.43069196992639436,2026-03-01 15:24:59.093284,2026-03-01 15:24:59.687008,0 days 00:00:00.593724,0.8722958992238073,3.965619728524946,0.12425607389854601,5,15.563959550457374,474,0.5965211664292035,3.0840442938358743,0.801351831894997,COMPLETE
53,0.42638509924021795,2026-03-01 15:24:59.689010,2026-03-01 15:25:00.241186,0 days 00:00:00.552176,0.865613029572552,3.9591677379380865,0.12252952791626999,4,16.428029455269694,438,0.5249580105495132,3.1469744323816218,0.7921870104117278,COMPLETE
54,0.4289848943079699,2026-03-01 15:25:00.242187,2026-03-01 15:25:00.793406,0 days 00:00:00.551219,0.8736403701705858,4.010501050723552,0.11908583850686916,4,16.034136215884477,448,0.6128036231504304,3.113272536557773,0.7995745524063934,COMPLETE
55,0.428138638157591,2026-03-01 15:25:00.794408,2026-03-01 15:25:01.287491,0 days 00:00:00.493083,0.8624400281284199,3.991824279432427,0.1503320344989711,4,16.004261262260446,334,0.6399066822572471,0.3904750653341297,0.7983977588648125,COMPLETE
56,0.42681812134574504,2026-03-01 15:25:01.288492,2026-03-01 15:25:01.733168,0 days 00:00:00.444676,0.8232219838581887,4.430569501152152,0.14646013996344906,4,11.128993374127582,340,0.6812369007886715,0.35196355026674364,0.8011264578065999,COMPLETE
57,0.4168201351472963,2026-03-01 15:25:01.735170,2026-03-01 15:25:02.156180,0 days 00:00:00.421010,0.8462910278148518,4.1151738016217125,0.18127235808153008,4,18.454703137101426,319,0.9598379119836494,0.18208818810636895,0.7780514382404613,COMPLETE
58,0.4309291851034847,2026-03-01 15:25:02.158183,2026-03-01 15:25:02.624323,0 days 00:00:00.466140,0.8687100650535613,3.834076357712033,0.15549674506421649,4,15.63852176606838,365,2.6221803780104243e-06,0.03766492159470467,0.8481398317613774,COMPLETE
59,0.4297865866204423,2026-03-01 15:25:02.626327,2026-03-01 15:25:02.991416,0 days 00:00:00.365089,0.8105674523139648,4.627131156872675,0.11960182185827764,4,15.258655895800237,246,2.98744555092009e-06,0.046597284284504145,0.8520176707551068,COMPLETE
