horizon,model,PR_AUC_mean,PR_AUC_std,F1_mean,F1_std,F2_mean,F2_std,TN_mean,FP_mean,FN_mean,TP_mean,thr_decision_mean,thr_decision_std,feature_block,n_features,n_num,n_cat
3m,RandomForest,0.345950055329821,0.02888884961506983,0.4296330328391691,0.02767045045692281,0.4975742362821326,0.01931879120161934,184.6,151.0,64.6,81.2,0.3,0.0,A_baseline,27,23,4
3m,SVM,0.3568173951789137,0.029926765112694976,0.4710459225344209,0.035691097280007356,0.6366680207132126,0.04570593374218415,87.2,248.4,24.0,121.8,0.25,0.0,A_baseline,27,23,4
3m,RandomForest,0.35468240990424604,0.04259245141394694,0.41892238328823705,0.021728855004685497,0.47653555042234946,0.03940480708332334,192.4,143.2,69.0,76.8,0.31,0.019999999999999997,B_baseline+vitals,31,27,4
3m,SVM,0.353303236393051,0.029463660779178377,0.4660211949876791,0.03429940873685865,0.6363252961578347,0.044025954961072276,77.0,258.6,22.6,123.2,0.25,0.0,B_baseline+vitals,31,27,4
3m,RandomForest,0.37652521126385796,0.0333685600258101,0.4248571757436131,0.031746248471503404,0.47100482204539607,0.053030162608160375,207.4,128.2,71.2,74.6,0.31999999999999995,0.024494897427831775,C_baseline+fvc,30,26,4
3m,SVM,0.36650245454473,0.02986080303824087,0.46755604309362164,0.03381466794018699,0.6277755270863674,0.04011215454018433,92.2,243.4,26.8,119.0,0.25,0.0,C_baseline+fvc,30,26,4
3m,RandomForest,0.3832712935924728,0.03335776422423407,0.4168474089983093,0.01294312354737282,0.44300999337653674,0.04025978079283705,225.4,110.2,78.2,67.6,0.33999999999999997,0.019999999999999997,D_baseline+vitals+fvc,34,30,4
3m,SVM,0.36476653436634077,0.027834228411208205,0.47004693367890854,0.028263798725303785,0.6365630193180951,0.03356108090810612,85.6,250.0,24.0,121.8,0.25,0.0,D_baseline+vitals+fvc,34,30,4
6m,RandomForest,0.38322707051371124,0.04981958383380257,0.4081997336997351,0.05379344954817491,0.4549063417776513,0.06457215652893543,119.0,76.0,41.8,41.6,0.31999999999999995,0.024494897427831775,A_baseline,27,23,4
6m,SVM,0.41059479974106494,0.07517995661214637,0.46636735797224665,0.06366085635168567,0.6088730204762965,0.06278694356860004,68.6,126.4,19.0,64.4,0.25,0.0,A_baseline,27,23,4
6m,RandomForest,0.3792111410553129,0.043089270094520106,0.41249708560723236,0.04876553581680483,0.47472697705522265,0.05509618591884847,109.4,85.6,38.8,44.6,0.31,0.019999999999999997,B_baseline+vitals,31,27,4
6m,SVM,0.39715608952499837,0.07329023037704324,0.45414932533822994,0.06262457045538145,0.599196139448847,0.06531164847745367,61.8,133.2,19.2,64.2,0.25,0.0,B_baseline+vitals,31,27,4
6m,RandomForest,0.3977893981780892,0.05027024166169772,0.3990716194795979,0.032527869693660214,0.41214456066927924,0.030079746666030745,138.2,56.8,48.4,35.0,0.35,0.0,C_baseline+fvc,30,26,4
6m,SVM,0.4291101073569976,0.0651970398097343,0.4658829775961591,0.05291025813646982,0.6197799094234051,0.029476421403977927,56.2,138.8,16.4,67.0,0.22999999999999998,0.024494897427831775,C_baseline+fvc,30,26,4
6m,RandomForest,0.40317411818835713,0.054349365332482566,0.4204414652348524,0.04539557687212376,0.43395440145937647,0.042514082601403366,140.2,54.8,46.4,37.0,0.35,0.0,D_baseline+vitals+fvc,34,30,4
6m,SVM,0.41424060798130685,0.06909111910215675,0.4621800926875984,0.05339574963970331,0.6117112762163,0.053058437611152164,60.4,134.6,17.6,65.8,0.24,0.019999999999999997,D_baseline+vitals+fvc,34,30,4
