number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.3604259043941278,2026-03-11 19:31:23.277746,2026-03-11 19:31:25.568718,0 days 00:00:02.290972,0.662397808134481,0.2904180608409973,0.17254716573280354,7,6.009974718380312,550,0.004042872735027332,2.9154431891537547,0.6624074561769746,COMPLETE
1,0.3895531029625111,2026-03-11 19:31:25.569719,2026-03-11 19:31:29.795440,0 days 00:00:04.225721,0.6727299868828402,0.9170225492671691,0.010636066512540286,8,12.10689693600216,900,0.0014077923139972403,0.016480446427978974,0.6849356442713105,COMPLETE
2,0.3902353603271939,2026-03-11 19:31:29.795440,2026-03-11 19:31:31.900089,0 days 00:00:02.104649,0.7465447373174767,2.28034992108518,0.023927528765580644,6,1.5187479226722465,650,1.5777663630582448e-05,1.382623217936987,0.7168578594140873,COMPLETE
3,0.3954870966324228,2026-03-11 19:31:31.901090,2026-03-11 19:31:33.247082,0 days 00:00:01.345992,0.6260206371941118,4.7444276862666666,0.05898602410432694,2,6.172115948107071,700,0.07085721663941602,7.2866537374910445,0.6682096494749166,COMPLETE
4,0.38833467188261706,2026-03-11 19:31:33.247082,2026-03-11 19:31:35.620257,0 days 00:00:02.373175,0.798070764044508,0.17194260557609198,0.013399060561509796,6,3.738105868191796,500,3.5700959600309506e-05,4.337920697490942,0.6488152939379115,COMPLETE
5,0.3959369411591143,2026-03-11 19:31:35.620257,2026-03-11 19:31:37.865531,0 days 00:00:02.245274,0.9878338511058234,3.8756641168055728,0.02544166090938368,5,5.143828405076927,850,0.2338643925620872,5.727904470799623,0.6739417822102108,COMPLETE
6,0.36948320824535064,2026-03-11 19:31:37.865531,2026-03-11 19:31:39.393503,0 days 00:00:01.527972,0.7301321323053057,1.9433864484474102,0.15826541904647565,2,1.7987863473362906,800,0.09384800715909536,0.01217295809836997,0.6180909155642152,COMPLETE
7,0.41033826524470635,2026-03-11 19:31:39.394503,2026-03-11 19:31:40.716732,0 days 00:00:01.322229,0.6298202574719083,4.9344346830025865,0.023200867504756827,5,1.5252697030515172,550,1.5570196345516602e-05,1.2273800987852967,0.9208787923016158,COMPLETE
8,0.38033566654684126,2026-03-11 19:31:40.716732,2026-03-11 19:31:41.367516,0 days 00:00:00.650784,0.6296178606936361,1.7923286427213632,0.11506408247250169,6,8.880965698768717,200,0.15087613675681671,0.0029072088906598446,0.9085081386743783,COMPLETE
9,0.3960930346096576,2026-03-11 19:31:41.368517,2026-03-11 19:31:42.982785,0 days 00:00:01.614268,0.8918424713352255,3.1877873567760657,0.026946865572417687,2,2.5386178456500557,850,0.0006812233896860299,3.53875886477924,0.7300733288106989,COMPLETE
10,0.4086341547372666,2026-03-11 19:31:42.983789,2026-03-11 19:31:44.550179,0 days 00:00:01.566390,0.876098829427658,4.865188803848124,0.06254517730997457,4,1.0552829926879401,1150,1.7329963039072036e-06,0.313569713135636,0.9924283304357215,COMPLETE
