number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.3691908420320245,2026-03-11 19:30:13.540266,2026-03-11 19:30:15.894696,0 days 00:00:02.354430,0.662397808134481,0.2904180608409973,0.17254716573280354,7,6.009974718380312,550,0.004042872735027332,2.9154431891537547,0.6624074561769746,COMPLETE
1,0.3922497822894716,2026-03-11 19:30:15.894696,2026-03-11 19:30:19.307582,0 days 00:00:03.412886,0.6727299868828402,0.9170225492671691,0.010636066512540286,8,12.10689693600216,900,0.0014077923139972403,0.016480446427978974,0.6849356442713105,COMPLETE
2,0.39645418191257253,2026-03-11 19:30:19.307582,2026-03-11 19:30:21.033997,0 days 00:00:01.726415,0.7465447373174767,2.28034992108518,0.023927528765580644,6,1.5187479226722465,650,1.5777663630582448e-05,1.382623217936987,0.7168578594140873,COMPLETE
3,0.4084483558677997,2026-03-11 19:30:21.033997,2026-03-11 19:30:22.468736,0 days 00:00:01.434739,0.6260206371941118,4.7444276862666666,0.05898602410432694,2,6.172115948107071,700,0.07085721663941602,7.2866537374910445,0.6682096494749166,COMPLETE
4,0.39070968063637246,2026-03-11 19:30:22.469737,2026-03-11 19:30:25.341462,0 days 00:00:02.871725,0.798070764044508,0.17194260557609198,0.013399060561509796,6,3.738105868191796,500,3.5700959600309506e-05,4.337920697490942,0.6488152939379115,COMPLETE
5,0.40671452093097826,2026-03-11 19:30:25.342463,2026-03-11 19:30:26.873174,0 days 00:00:01.530711,0.9878338511058234,3.8756641168055728,0.02544166090938368,5,5.143828405076927,850,0.2338643925620872,5.727904470799623,0.6739417822102108,COMPLETE
6,0.3714392592741687,2026-03-11 19:30:26.873174,2026-03-11 19:30:28.397597,0 days 00:00:01.524423,0.7301321323053057,1.9433864484474102,0.15826541904647565,2,1.7987863473362906,800,0.09384800715909536,0.01217295809836997,0.6180909155642152,COMPLETE
7,0.4134132256910048,2026-03-11 19:30:28.398598,2026-03-11 19:30:29.258677,0 days 00:00:00.860079,0.6298202574719083,4.9344346830025865,0.023200867504756827,5,1.5252697030515172,550,1.5570196345516602e-05,1.2273800987852967,0.9208787923016158,COMPLETE
8,0.3949803676950988,2026-03-11 19:30:29.259678,2026-03-11 19:30:29.737595,0 days 00:00:00.477917,0.6296178606936361,1.7923286427213632,0.11506408247250169,6,8.880965698768717,200,0.15087613675681671,0.0029072088906598446,0.9085081386743783,COMPLETE
9,0.40262271665263033,2026-03-11 19:30:29.738596,2026-03-11 19:30:31.057660,0 days 00:00:01.319064,0.8918424713352255,3.1877873567760657,0.026946865572417687,2,2.5386178456500557,850,0.0006812233896860299,3.53875886477924,0.7300733288106989,COMPLETE
10,0.4090705993760785,2026-03-11 19:30:31.057660,2026-03-11 19:30:32.670099,0 days 00:00:01.612439,0.876098829427658,4.865188803848124,0.06254517730997457,4,1.0552829926879401,1150,1.7329963039072036e-06,0.313569713135636,0.9924283304357215,COMPLETE
11,0.4104434075775275,2026-03-11 19:30:32.670099,2026-03-11 19:30:34.376444,0 days 00:00:01.706345,0.8810796931031994,4.835968465735538,0.056309763043883326,4,1.0755591078043292,1200,1.0666978609894524e-06,0.2916399115521992,0.9962928066797128,COMPLETE
12,0.40875279958130895,2026-03-11 19:30:34.377446,2026-03-11 19:30:36.021286,0 days 00:00:01.643840,0.887098392707996,3.8596200619003547,0.04042271085612354,4,1.0218187491849875,1150,1.0438622618911357e-06,0.21600861053923426,0.9048567471031802,COMPLETE
13,0.4131881473141753,2026-03-11 19:30:36.021286,2026-03-11 19:30:36.573425,0 days 00:00:00.552139,0.9523656395806502,4.060996943297696,0.09134025383040516,4,19.96183719362055,350,2.2072033947375457e-05,0.5661324486824431,0.9942603012292255,COMPLETE
14,0.4049239855578076,2026-03-11 19:30:36.574427,2026-03-11 19:30:37.095642,0 days 00:00:00.521215,0.9774668482070753,3.960742123530463,0.09784782950094352,3,19.76277741807801,300,8.249945617210928e-05,0.8129934932374487,0.9110846414027763,COMPLETE
15,0.40377184391221616,2026-03-11 19:30:37.096642,2026-03-11 19:30:38.250881,0 days 00:00:01.154239,0.8168981313551387,3.1677129558918242,0.016976737385213242,5,3.065887486702054,450,8.353235279950468e-06,0.04241650986428462,0.8354320660151731,COMPLETE
16,0.406544219160081,2026-03-11 19:30:38.252384,2026-03-11 19:30:38.915702,0 days 00:00:00.663318,0.9438599500782205,4.176728731779257,0.040471621835042874,5,18.81696084575414,350,0.00016365133784335213,0.808833270422206,0.8517314664119261,COMPLETE
17,0.4027330435526787,2026-03-11 19:30:38.915702,2026-03-11 19:30:39.501239,0 days 00:00:00.585537,0.7309962350571283,3.1370991330748383,0.09923833894183041,3,9.686438053013456,350,6.108845581562682e-06,0.04727741953147195,0.9603202535028516,COMPLETE
18,0.41324597636048416,2026-03-11 19:30:39.501239,2026-03-11 19:30:40.086660,0 days 00:00:00.585421,0.8005828061689466,4.426593829524638,0.018830841644102942,3,2.1334651052776317,200,0.010027691135165495,0.1388755210185056,0.944473887941575,COMPLETE
19,0.419806331332384,2026-03-11 19:30:40.086660,2026-03-11 19:30:40.626770,0 days 00:00:00.540110,0.8055524630146045,4.435187312805486,0.01807062967927103,3,1.922961826024518,200,0.014537475027051914,0.09640424400638137,0.772584710694685,COMPLETE
20,0.40249487119567773,2026-03-11 19:30:40.626770,2026-03-11 19:30:42.199820,0 days 00:00:01.573050,0.7636004284281295,3.4904832000270054,0.03184315555804377,8,1.4491408638059802,1000,0.9184525204476178,0.0011129709953152695,0.7616675016944651,COMPLETE
21,0.41431419484181226,2026-03-11 19:30:42.199820,2026-03-11 19:30:42.985741,0 days 00:00:00.785921,0.8288362177345823,4.475517744180915,0.01828922513169032,3,2.2132231865012977,200,0.013630299811090579,0.1193729140939129,0.7939105954624642,COMPLETE
22,0.41384296966472434,2026-03-11 19:30:42.986742,2026-03-11 19:30:44.068730,0 days 00:00:01.081988,0.843786360094787,4.4237872915570815,0.016740678870629744,3,2.6328929047202063,600,0.022096639838537175,0.07188384959059231,0.7935954733188717,COMPLETE
23,0.4148437605792809,2026-03-11 19:30:44.069731,2026-03-11 19:30:44.659738,0 days 00:00:00.590007,0.8385936683454734,4.399164380995254,0.01488761358829049,3,2.750532455506035,200,0.01734787482868419,0.06993700387973727,0.7947389711599077,COMPLETE
24,0.4069636749059374,2026-03-11 19:30:44.661270,2026-03-11 19:30:45.423383,0 days 00:00:00.762113,0.8426881835255825,2.753717613379177,0.010080130104191969,3,3.720616854876397,250,0.017417971365818033,0.020894532825834235,0.8123315005385313,COMPLETE
25,0.41519309828095813,2026-03-11 19:30:45.423383,2026-03-11 19:30:46.292740,0 days 00:00:00.869357,0.7832164661477504,4.392640095970563,0.01344802768288411,2,2.1885404644062545,450,0.001649781963182437,0.006239144526901581,0.7706447006062106,COMPLETE
26,0.41209388821972626,2026-03-11 19:30:46.293742,2026-03-11 19:30:47.188505,0 days 00:00:00.894763,0.7732616389267033,3.711405668790169,0.012970480863996665,2,3.2556938140851135,450,0.0008679756274292729,0.005454487023671226,0.7590762268687945,COMPLETE
27,0.414048187364432,2026-03-11 19:30:47.188505,2026-03-11 19:30:47.981104,0 days 00:00:00.792599,0.7121780342875308,3.4209610949751177,0.013607455989725039,2,1.9286873554912762,400,0.003792702293830982,0.007069846557539731,0.8723180622974763,COMPLETE
28,0.4116016926974998,2026-03-11 19:30:47.981104,2026-03-11 19:30:48.637452,0 days 00:00:00.656348,0.9209816590272252,2.786672508157805,0.012418164464633267,2,4.568786415654284,300,0.00024403736415516743,0.02875579041213507,0.7476398914980039,COMPLETE
29,0.39934861761595847,2026-03-11 19:30:48.638453,2026-03-11 19:30:49.467383,0 days 00:00:00.828930,0.6957765371853207,0.553192444836597,0.030345331336833953,4,1.330534789362413,250,0.003316928086001331,0.0011000027119649881,0.7069197114774041,COMPLETE
30,0.4145562738731375,2026-03-11 19:30:49.467383,2026-03-11 19:30:50.349801,0 days 00:00:00.882418,0.7934321918890358,4.335760956355486,0.02130981796420723,3,2.7290436237956,450,0.005735478180999654,0.0022771687470312923,0.773217888808885,COMPLETE
31,0.4141203119464989,2026-03-11 19:30:50.350304,2026-03-11 19:30:51.233589,0 days 00:00:00.883285,0.7989754538439368,4.348658639034384,0.019972253227198547,3,2.622563776017925,450,0.0019662744982893066,0.0025721618258926276,0.7793433959592015,COMPLETE
32,0.4137576705301579,2026-03-11 19:30:51.233589,2026-03-11 19:30:52.264624,0 days 00:00:01.031035,0.7697847388383272,4.585308448270623,0.015107167489841167,2,1.8496664246180465,550,0.02805425912438925,0.0026163563887960303,0.8229940968101632,COMPLETE
33,0.41263349623456297,2026-03-11 19:30:52.264624,2026-03-11 19:30:53.878557,0 days 00:00:01.613933,0.8449142674293272,4.1480020981967245,0.010966153911588394,3,2.9293304014795547,700,0.045485851150671976,0.00942015866890884,0.7350518052801871,COMPLETE
34,0.40616888913825344,2026-03-11 19:30:53.878557,2026-03-11 19:30:54.726418,0 days 00:00:00.847861,0.7855083006927307,3.553282447375172,0.020796164930043222,4,3.7846152330898746,300,0.006505311400996645,0.003922179294252712,0.7022394569985138,COMPLETE
