model,mode,horizon,pr_auc_mean,pr_auc_std,roc_auc_mean,roc_auc_std,f1_mean,f1_std,f2_mean,f2_std,elapsed_s
XGBoost,unbalanced,6m,0.4339,0.0492,0.6154,0.0211,0.121,0.0427,0.0851,0.0313,136.5
RandomForest,unbalanced,6m,0.431,0.0423,0.6101,0.0315,0.023,0.0208,0.0147,0.0134,213.4
SVM,balanced,6m,0.4255,0.0493,0.6209,0.0249,0.0172,0.0146,0.011,0.0093,105.1
RandomForest,balanced,6m,0.4252,0.0458,0.6152,0.0271,0.442,0.0209,0.4803,0.0319,301.7
XGBoost,balanced,6m,0.4244,0.0396,0.6043,0.0074,0.4198,0.0326,0.4542,0.0284,157.4
LightGBM,balanced,6m,0.4184,0.0359,0.6148,0.0121,0.4434,0.0319,0.4987,0.0428,155.2
LightGBM,unbalanced,6m,0.4151,0.0458,0.6125,0.0201,0.0839,0.0367,0.0575,0.0268,126.9
LogisticRegression,balanced,6m,0.4069,0.0507,0.6112,0.0335,0.4618,0.0358,0.5273,0.0371,9.2
DecisionTree,balanced,6m,0.4041,0.0541,0.6064,0.0248,0.4336,0.0322,0.5142,0.0606,8.1
LogisticRegression,unbalanced,6m,0.4005,0.0539,0.6072,0.0378,0.0414,0.0332,0.0279,0.0228,12.4
SVM,unbalanced,6m,0.3892,0.0569,0.5943,0.0188,0.032,0.03,0.0212,0.0198,767.8
DecisionTree,unbalanced,6m,0.388,0.0462,0.6045,0.0409,0.3288,0.0506,0.293,0.0573,8.2
KNeighbors,unbalanced,6m,0.387,0.0546,0.5872,0.0275,0.0349,0.013,0.0224,0.0083,11.5
