model,mode,fold,pr_auc,roc_auc
XGB,unbalanced,0,0.4527,0.5911
XGB,unbalanced,1,0.4838,0.6371
XGB,unbalanced,2,0.4347,0.6132
XGB,unbalanced,3,0.4574,0.6417
XGB,unbalanced,4,0.3406,0.5937
RF,unbalanced,0,0.4346,0.5671
RF,unbalanced,1,0.4783,0.6481
RF,unbalanced,2,0.4012,0.5921
RF,unbalanced,3,0.4734,0.6447
RF,unbalanced,4,0.3676,0.5985
SVM,balanced,0,0.4668,0.6137
SVM,balanced,1,0.4541,0.6298
SVM,balanced,2,0.4292,0.6416
SVM,balanced,3,0.4476,0.6434
SVM,balanced,4,0.3299,0.5758
LGBM,balanced,0,0.4442,0.594
LGBM,balanced,1,0.4457,0.6101
LGBM,balanced,2,0.4095,0.6231
LGBM,balanced,3,0.4409,0.6289
LGBM,balanced,4,0.3517,0.618
LR,balanced,0,0.4255,0.5738
LR,balanced,1,0.4613,0.6533
LR,balanced,2,0.4099,0.6252
LR,balanced,3,0.4265,0.6338
LR,balanced,4,0.3113,0.5697
DT,balanced,0,0.436,0.5856
DT,balanced,1,0.4692,0.65
DT,balanced,2,0.3948,0.6167
DT,balanced,3,0.4124,0.5971
DT,balanced,4,0.308,0.5828
KNN,unbalanced,0,0.4263,0.5819
KNN,unbalanced,1,0.3442,0.5516
KNN,unbalanced,2,0.3938,0.5869
KNN,unbalanced,3,0.4613,0.6366
KNN,unbalanced,4,0.3097,0.5792
