model_a,model_b,stat,p_raw,p_corrected,significant
XGB,RF,6.0,0.8125,1.0,False
XGB,SVM,4.0,0.4375,1.0,False
XGB,LGBM,2.0,0.1875,1.0,False
XGB,LR,0.0,0.0625,1.0,False
XGB,DT,0.0,0.0625,1.0,False
XGB,KNN,1.0,0.125,1.0,False
RF,SVM,7.0,1.0,1.0,False
RF,LGBM,3.0,0.3125,1.0,False
RF,LR,1.0,0.125,1.0,False
RF,DT,1.0,0.125,1.0,False
RF,KNN,0.0,0.0625,1.0,False
SVM,LGBM,4.0,0.4375,1.0,False
SVM,LR,1.0,0.125,1.0,False
SVM,DT,1.0,0.125,1.0,False
SVM,KNN,1.0,0.125,1.0,False
LGBM,LR,4.0,0.4375,1.0,False
LGBM,DT,3.0,0.3125,1.0,False
LGBM,KNN,3.0,0.3125,1.0,False
LR,DT,5.0,0.625,1.0,False
LR,KNN,5.0,0.625,1.0,False
DT,KNN,6.0,0.8125,1.0,False
