feature,coefficient,abs_coefficient
ALSFRS_R_t0,-0.3391110952691551,0.3391110952691551
FVC_Liters_best_t0,-0.12154157799378686,0.12154157799378686
Respiratory_Rate,0.10019345548089406,0.10019345548089406
Pulse,0.0815489417009502,0.0815489417009502
study_arm_Active,-0.07772214556050504,0.07772214556050504
Race_Americ_Indian_Alaska_Native,-0.06829136183192104,0.06829136183192104
FVC_pctNormal_best_t0,-0.06325985201713574,0.06325985201713574
Height_cm_t0,0.04263835990546282,0.04263835990546282
R_1_Dyspnea,0.04246865534528324,0.04246865534528324
Age,0.03191899734319267,0.03191899734319267
Blood_Pressure_Systolic,0.031318603624168204,0.031318603624168204
alt_t0,0.027495492064132616,0.027495492064132616
Race_Black_African_American,-0.016600459557532296,0.016600459557532296
Baseline_Standing_BP_Systolic,-0.012343894092894986,0.012343894092894986
R_3_Respiratory_Insufficiency,0.012151324095488374,0.012151324095488374
Temperature,-0.006260295834447213,0.006260295834447213
BMI_t0,-0.005264476031256048,0.005264476031256048
Weight_kg_t0,0.0007953374657987871,0.0007953374657987871
Race_Unknown,0.0,0.0
Race_Other,0.0,0.0
Race_Hawaiian_Pacific_Islander,0.0,0.0
Race_Asian,0.0,0.0
Race_Caucasian,0.0,0.0
Blood_Pressure_Diastolic,0.0,0.0
Baseline_Standing_BP_Diastolic,0.0,0.0
R_2_Orthopnea,0.0,0.0
Baseline_Supine_BP_Systolic,0.0,0.0
Baseline_Supine_BP_Diastolic,0.0,0.0
riluzole_pre_t0,0.0,0.0
subject_normal,0.0,0.0
creatinine_t0,0.0,0.0
Sex_Female,0.0,0.0
Sex_Male,0.0,0.0
n_conmeds_pre_t0,0.0,0.0
Ethnicity_Hispanic or Latino,0.0,0.0
Ethnicity_Non-Hispanic or Latino,0.0,0.0
Mode_of_Administration_ELECTRONIC,0.0,0.0
Ethnicity_Unknown,0.0,0.0
Mode_of_Administration_In Person,0.0,0.0
Mode_of_Administration_In person,0.0,0.0
Mode_of_Administration_PAPER FORM,0.0,0.0
study_arm_Placebo,0.0,0.0
