feature,mean_abs_shap
ALSFRS_R_t0,0.32525533
FVC_Liters_best_t0,0.13082185
Respiratory_Rate,0.09957583
Age,0.06734329
FVC_pctNormal_best_t0,0.06697397
Pulse,0.06487861
alt_t0,0.049910825
Temperature,0.04540529
Weight_kg_t0,0.0413545
n_conmeds_pre_t0,0.03953857
creatinine_t0,0.036623143
BMI_t0,0.028328614
Height_cm_t0,0.022959005
subject_normal,0.020278655
study_arm_Active,0.019219985
R_1_Dyspnea,0.016326297
Blood_Pressure_Systolic,0.016050536
R_2_Orthopnea,0.015328814
Blood_Pressure_Diastolic,0.013765814
Sex_Female,0.013675769
Ethnicity_Non-Hispanic or Latino,0.011786249
riluzole_pre_t0,0.007996543
study_arm_Placebo,0.007215793
Ethnicity_Hispanic or Latino,0.0052715247
Sex_Male,0.004690835
Baseline_Standing_BP_Systolic,0.0033200693
R_3_Respiratory_Insufficiency,0.0029408236
Baseline_Supine_BP_Systolic,0.0017690305
Mode_of_Administration_In Person,0.0014998286
Baseline_Standing_BP_Diastolic,0.00048465963
Race_Black_African_American,0.0
Race_Asian,0.0
Race_Caucasian,0.0
Race_Americ_Indian_Alaska_Native,0.0
Race_Unknown,0.0
Race_Other,0.0
Race_Hawaiian_Pacific_Islander,0.0
Baseline_Supine_BP_Diastolic,0.0
Mode_of_Administration_ELECTRONIC,0.0
Ethnicity_Unknown,0.0
Mode_of_Administration_PAPER FORM,0.0
Mode_of_Administration_In person,0.0
