threshold,predicted_positive,true_positive,false_positive,nb_model,nb_treat_all,nb_treat_none,nb_advantage
0.01,279,84,195,0.29401542304768113,0.29401542304768113,0.0,0.0
0.02,279,84,195,0.2868114987930656,0.2868114987930656,0.0,0.0
0.03,279,84,195,0.2794590400177364,0.2794590400177364,0.0,0.0
0.04,279,84,195,0.27195340501792115,0.27195340501792115,0.0,0.0
0.05,279,84,195,0.26428975664968873,0.26428975664968873,0.0,0.0
0.060000000000000005,279,84,195,0.2564630519331961,0.2564630519331961,0.0,0.0
0.06999999999999999,279,84,195,0.2484680309862412,0.2484680309862412,0.0,0.0
0.08,279,84,195,0.24029920523609163,0.24029920523609163,0.0,0.0
0.09,279,84,195,0.23195084485407066,0.23195084485407066,0.0,0.0
0.09999999999999999,279,84,195,0.22341696535244923,0.22341696535244923,0.0,0.0
0.11,279,84,195,0.21469131327775764,0.21469131327775764,0.0,0.0
0.12,279,84,195,0.20576735092864126,0.20576735092864126,0.0,0.0
0.13,278,84,194,0.19717381452642854,0.19663824001977503,0.0,0.0005355745066535078
0.14,273,83,190,0.18662999083104106,0.1872968242060515,0.0,-0.0006668333750104449
0.15000000000000002,267,82,185,0.17689226228125654,0.1777356103731815,0.0,-0.0008433480919249614
0.16,259,80,179,0.16453319679126127,0.16794674859190986,0.0,-0.00341355180064859
0.17,251,78,173,0.15256725828043352,0.1579220106231377,0.0,-0.005354752342704189
0.18000000000000002,239,77,162,0.14852696914065913,0.14765276685024914,0.0,0.0008742022904099922
0.19,227,77,150,0.14987388822514272,0.13712996150272136,0.0,0.012743926722421361
0.2,218,74,144,0.13620071684587814,0.12634408602150538,0.0,0.00985663082437277
0.21000000000000002,205,72,133,0.13134612767115827,0.1152851504015244,0.0,0.016060977269633875
0.22,187,68,119,0.1234261556842202,0.10394265232974911,0.0,0.01948350335447109
0.23,174,62,112,0.10231345715216682,0.09230554391844714,0.0,0.010007913233719676
0.24000000000000002,162,59,103,0.09488775702697604,0.0803621958121109,0.0,0.014525561214865132
0.25,150,57,93,0.09318996415770611,0.06810035842293907,0.0,0.02508960573476704
0.26,145,56,89,0.08863702412089508,0.055507120023249035,0.0,0.033129904097646046
0.27,133,54,79,0.0888201502430402,0.042568861393430524,0.0,0.046251288849609676
0.28,121,50,71,0.0802469135802469,0.02927120669056149,0.0,0.050975706889685404
0.29000000000000004,107,48,59,0.0856681306476854,0.015598970165076442,0.0,0.07006916048260896
0.3,96,44,52,0.07782898105478749,0.0015360983102918335,0.0,0.07629288274449565
0.31,93,44,49,0.07880110124149393,-0.012934393018544543,0.0,0.07880110124149393
0.32,81,38,43,0.06367278094033312,-0.027830487033523144,0.0,0.06367278094033312
0.33,78,37,41,0.06023645214786283,-0.04317124057133692,0.0,0.06023645214786283
0.34,71,35,36,0.05897686542847831,-0.05897686542847841,0.0,0.05897686542847831
0.35000000000000003,68,34,34,0.056244830438378815,-0.07526881720430117,0.0,0.056244830438378815
0.36000000000000004,60,31,29,0.05264336917562722,-0.09206989247311836,0.0,0.05264336917562722
0.37,53,29,24,0.05342208568015019,-0.10940433521078685,0.0,0.05342208568015019
0.38,46,26,20,0.04925424904613251,-0.12729795352063827,0.0,0.04925424904613251
0.39,39,22,17,0.039896586168400014,-0.14577824784064874,0.0,0.039896586168400014
0.4,38,21,17,0.03464755077658303,-0.16487455197132622,0.0,0.03464755077658303
0.41000000000000003,36,20,16,0.03183281696130247,-0.1846181884454165,0.0,0.03183281696130247
0.42000000000000004,33,18,15,0.025583982202447154,-0.2050426399703375,0.0,0.025583982202447154
0.43,28,13,15,0.006036596868515383,-0.2261837389171854,0.0,0.006036596868515383
0.44,23,12,11,0.012032770097286233,-0.24807987711213514,0.0,0.012032770097286233
0.45,21,11,10,0.010101010101010104,-0.27077223851417404,0.0,0.010101010101010104
0.46,20,11,9,0.011947431302270009,-0.29430505774591803,0.0,0.011947431302270009
0.47000000000000003,19,10,9,0.007236085750997497,-0.3187259078920674,0.0,0.007236085750997497
0.48000000000000004,15,7,8,-0.001378549765646539,-0.3440860215053764,0.0,-0.001378549765646539
0.49,11,5,6,-0.002740881298756062,-0.37044064937803073,0.0,-0.002740881298756062
0.5,10,4,6,-0.007168458781362009,-0.39784946236559143,0.0,-0.007168458781362009
0.51,8,3,5,-0.007899934167215274,-0.42637700241386883,0.0,-0.007899934167215274
0.52,7,3,4,-0.004778972520908005,-0.4560931899641579,0.0,-0.004778972520908005
0.53,6,3,3,-0.001372683596431024,-0.487073896133608,0.0,-0.001372683596431024
0.54,3,2,1,0.002960885148823437,-0.5194015895278168,0.0,0.002960885148823437
0.55,2,1,1,-0.0007964954201513351,-0.5531660692951019,0.0,-0.0007964954201513351
0.56,2,1,1,-0.0009775171065493655,-0.5884652981427176,0.0,-0.0009775171065493655
0.5700000000000001,1,1,0,0.0035842293906810036,-0.6254063515878974,0.0,0.0035842293906810036
0.5800000000000001,0,0,0,0.0,-0.6641065028161806,0.0,0.0
0.59,0,0,0,0.0,-0.7046944662995016,0.0,0.0
0.6,0,0,0,0.0,-0.7473118279569892,0.0,0.0
