stratification,group,n,tp_n,tp_pct,fp_n,fp_pct,fn_n,fn_pct,tn_n,tn_pct
Age,≤49,65,16,24.615384615384617,22,33.84615384615385,6,9.23076923076923,21,32.30769230769231
Age,50-57,68,21,30.88235294117647,34,50.0,1,1.4705882352941178,12,17.647058823529413
Age,58-65,59,11,18.64406779661017,34,57.6271186440678,3,5.084745762711864,11,18.64406779661017
Age,>65,54,13,24.074074074074073,29,53.7037037037037,2,3.7037037037037037,10,18.51851851851852
Age,Missing,33,11,33.333333333333336,14,42.42424242424242,0,0.0,8,24.242424242424242
Sex,Female,106,27,25.471698113207548,60,56.60377358490566,5,4.716981132075472,14,13.20754716981132
Sex,Male,173,45,26.01156069364162,73,42.19653179190752,7,4.046242774566474,48,27.745664739884393
ALSFRS-R severity,≤35 (severe),72,35,48.611111111111114,32,44.44444444444444,1,1.3888888888888888,4,5.555555555555555
ALSFRS-R severity,36-39,73,20,27.397260273972602,40,54.794520547945204,4,5.47945205479452,9,12.32876712328767
ALSFRS-R severity,40-42,60,11,18.333333333333332,34,56.666666666666664,2,3.3333333333333335,13,21.666666666666668
ALSFRS-R severity,>42 (mild),74,6,8.108108108108109,27,36.486486486486484,5,6.756756756756757,36,48.648648648648646
FVC (% normal),≤77%,40,15,37.5,21,52.5,1,2.5,3,7.5
FVC (% normal),78-87%,34,12,35.294117647058826,14,41.1764705882353,3,8.823529411764707,5,14.705882352941176
FVC (% normal),88-98%,37,6,16.216216216216218,18,48.648648648648646,1,2.7027027027027026,12,32.432432432432435
FVC (% normal),>98%,45,7,15.555555555555555,16,35.55555555555556,2,4.444444444444445,20,44.44444444444444
FVC (% normal),Missing,123,32,26.016260162601625,64,52.03252032520325,5,4.065040650406504,22,17.88617886178862
