feature,feature_label,grid_value,mean_predicted_probability,n_observed_test,n_missing_test
ALSFRS_R_t0,ALSFRS-R total (baseline),29.0,0.37666675,279,0
ALSFRS_R_t0,ALSFRS-R total (baseline),29.346938775510203,0.37666675,279,0
ALSFRS_R_t0,ALSFRS-R total (baseline),29.693877551020407,0.37666675,279,0
ALSFRS_R_t0,ALSFRS-R total (baseline),30.040816326530614,0.38243994,279,0
ALSFRS_R_t0,ALSFRS-R total (baseline),30.387755102040817,0.38243994,279,0
ALSFRS_R_t0,ALSFRS-R total (baseline),30.73469387755102,0.38243994,279,0
ALSFRS_R_t0,ALSFRS-R total (baseline),31.081632653061224,0.3899762,279,0
ALSFRS_R_t0,ALSFRS-R total (baseline),31.428571428571427,0.3899762,279,0
ALSFRS_R_t0,ALSFRS-R total (baseline),31.775510204081634,0.3899762,279,0
ALSFRS_R_t0,ALSFRS-R total (baseline),32.12244897959184,0.3899762,279,0
ALSFRS_R_t0,ALSFRS-R total (baseline),32.46938775510204,0.3899762,279,0
ALSFRS_R_t0,ALSFRS-R total (baseline),32.816326530612244,0.3899762,279,0
ALSFRS_R_t0,ALSFRS-R total (baseline),33.16326530612245,0.38945585,279,0
ALSFRS_R_t0,ALSFRS-R total (baseline),33.51020408163265,0.38945585,279,0
ALSFRS_R_t0,ALSFRS-R total (baseline),33.857142857142854,0.38945585,279,0
ALSFRS_R_t0,ALSFRS-R total (baseline),34.20408163265306,0.33831686,279,0
ALSFRS_R_t0,ALSFRS-R total (baseline),34.55102040816327,0.33831686,279,0
ALSFRS_R_t0,ALSFRS-R total (baseline),34.89795918367347,0.33831686,279,0
ALSFRS_R_t0,ALSFRS-R total (baseline),35.244897959183675,0.32488465,279,0
ALSFRS_R_t0,ALSFRS-R total (baseline),35.59183673469388,0.32488465,279,0
ALSFRS_R_t0,ALSFRS-R total (baseline),35.93877551020408,0.32488465,279,0
ALSFRS_R_t0,ALSFRS-R total (baseline),36.285714285714285,0.32393473,279,0
ALSFRS_R_t0,ALSFRS-R total (baseline),36.63265306122449,0.32393473,279,0
ALSFRS_R_t0,ALSFRS-R total (baseline),36.97959183673469,0.32393473,279,0
ALSFRS_R_t0,ALSFRS-R total (baseline),37.326530612244895,0.3235552,279,0
ALSFRS_R_t0,ALSFRS-R total (baseline),37.673469387755105,0.3235552,279,0
ALSFRS_R_t0,ALSFRS-R total (baseline),38.02040816326531,0.31184113,279,0
ALSFRS_R_t0,ALSFRS-R total (baseline),38.36734693877551,0.31184113,279,0
ALSFRS_R_t0,ALSFRS-R total (baseline),38.714285714285715,0.31184113,279,0
ALSFRS_R_t0,ALSFRS-R total (baseline),39.06122448979592,0.2512032,279,0
ALSFRS_R_t0,ALSFRS-R total (baseline),39.40816326530612,0.2512032,279,0
ALSFRS_R_t0,ALSFRS-R total (baseline),39.755102040816325,0.2512032,279,0
ALSFRS_R_t0,ALSFRS-R total (baseline),40.10204081632653,0.2512032,279,0
ALSFRS_R_t0,ALSFRS-R total (baseline),40.44897959183673,0.2512032,279,0
ALSFRS_R_t0,ALSFRS-R total (baseline),40.79591836734694,0.2512032,279,0
ALSFRS_R_t0,ALSFRS-R total (baseline),41.14285714285714,0.25067714,279,0
