Stratification,Group,N,N_rapid,Prevalence,PR_AUC,Recall,Precision,F1
Age Group,≤49,65,22,0.3384615384615385,0.43735103728529906,0.7272727272727273,0.42105263157894735,0.5333333333333333
Age Group,50-57,68,22,0.3235294117647059,0.566728894663876,0.9545454545454546,0.38181818181818183,0.5454545454545454
Age Group,58-65,59,14,0.23728813559322035,0.3751171243122343,0.7857142857142857,0.24444444444444444,0.3728813559322034
Age Group,>65,54,15,0.2777777777777778,0.3648734939711771,0.8666666666666667,0.30952380952380953,0.45614035087719296
Sex,Female,106,32,0.3018867924528302,0.4502593691844139,0.84375,0.3103448275862069,0.453781512605042
Sex,Male,173,52,0.30057803468208094,0.4733167689501674,0.8653846153846154,0.3813559322033898,0.5294117647058824
ALSFRS-R Severity,≤35,72,36,0.5,0.558288705327143,0.9722222222222222,0.5223880597014925,0.6796116504854369
ALSFRS-R Severity,36-39,73,24,0.3287671232876712,0.4176376731435114,0.8333333333333334,0.3333333333333333,0.47619047619047616
ALSFRS-R Severity,40-42,60,13,0.21666666666666667,0.3800559771868003,0.8461538461538461,0.24444444444444444,0.3793103448275862
ALSFRS-R Severity,>42,74,11,0.14864864864864866,0.2058366461694403,0.5454545454545454,0.18181818181818182,0.2727272727272727
FVC (% normal),≤77%,40,16,0.4,0.5897107211029424,0.9375,0.4166666666666667,0.5769230769230769
FVC (% normal),78-87%,34,15,0.4411764705882353,0.6777281459431561,0.8,0.46153846153846156,0.5853658536585366
FVC (% normal),88-98%,37,7,0.1891891891891892,0.3062925170068027,0.8571428571428571,0.25,0.3870967741935484
FVC (% normal),>98%,45,9,0.2,0.3167112648784308,0.7777777777777778,0.30434782608695654,0.4375
